ID,Name,Category,Price,OriginalPrice,Stock,Description,Image,Certificate,Featured
E2F-KIT,Kit Protocolo Integral BALANCE FEEL,peptides,180000,415000,100,"El protocolo completo que te ayuda a desinflamar tu cuerpo, eliminar la retención de líquidos y encender nuevamente tu metabolismo sin dietas extremas ni rebotes. Incluye: Gotas Lipo Drean Complex, Protocolo Detox, Sal Rosada del Himalaya, Guía de Alimentación Antiinflamatoria y Plan de Ejercicios en PDF.",https://images.leadconnectorhq.com/image/f_webp/q_80/r_1200/u_https://assets.cdn.filesafe.space/axN0gPIgxQr8rG0tyPSN/media/69ab5b56b3fc00ce6534f016.jpeg,,TRUE
E2F-GOTAS,Gotas Lipo Drean Complex,peptides,130000,200000,100,"Nuestra fórmula estrella concentrada para ayudarte a regular la ansiedad de picar dulces, desinflamar el organismo y reparar progresivamente tu metabolismo.",https://images.leadconnectorhq.com/image/f_webp/q_80/r_1200/u_https://assets.cdn.filesafe.space/axN0gPIgxQr8rG0tyPSN/media/69ab5a2cb2a2741dd0d43850.jpeg,,TRUE
E2F-SAL,Sal Rosada del Himalaya,accessories,25000,35000,100,"Sal pura rosada del Himalaya para aportar los minerales y electrolitos esenciales necesarios para una correcta hidratación celular sin inflamarte.",https://images.leadconnectorhq.com/image/f_webp/q_80/r_1200/u_https://assets.cdn.filesafe.space/axN0gPIgxQr8rG0tyPSN/media/69ab5b56b3fc00ce6534f016.jpeg,,FALSE
E2F-DETOX,Protocolo Detox,peptides,45000,65000,100,"Limpia tu organismo desde las primeras 24 horas y prepara tu cuerpo para absorber correctamente los nutrientes y comenzar la desinflamación.",https://images.leadconnectorhq.com/image/f_webp/q_80/r_1200/u_https://assets.cdn.filesafe.space/axN0gPIgxQr8rG0tyPSN/media/69ab5b56b3fc00ce6534f016.jpeg,,FALSE
